string_id,source_zh,tokenized_zh,module_tag,module_confidence,max_len_target,len_tier,source_locale,placeholder_flags,status,is_empty_source,is_long_text,target_text
1,忍者升级、升星可大幅度提高忍者属性成长，升级属性加成提高。,忍者升级、升星可大幅度提高忍者属性成长，升级属性加成提高。,dialogue,0.85,62,M,zh-CN,count=0,llm_tagged,False,False,"Улучшение и повышение звёзд ниндзя значительно повышают рост характеристик ниндзя, а также увеличивают бонусы к характеристикам при улучшении."
2,忍者共分为13个星级，只有部分忍者可以突破到13星。,忍者共分为13个星级，只有部分忍者可以突破到13星。,dialogue,0.85,55,M,zh-CN,count=0,llm_tagged,False,False,"Ниндзя разделены на 13 уровней звёзд, но только некоторые ниндзя могут прорваться на 13-й уровень."
3,除血量、攻击、防御、速度4大基本属性外，还有16个特殊属性。,除血量、攻击、防御、速度4大基本属性外，还有16个特殊属性。,skill_desc,0.8,64,M,zh-CN,count=0,ok,False,False,"Помимо 4 основных характеристик (здоровье, атака, защита, скорость), существует 16 специальных характеристик."
4,忍者初始质量从低到高为蓝、紫、橙，分别对应3-5星,忍者初始质量从低到高为蓝、紫、橙，分别对应3-5星,dialogue,0.85,54,M,zh-CN,count=0,llm_tagged,False,False,"Начальное качество ниндзя от низшего к высшему: синий, фиолетовый, оранжевый, соответствующие 3-5 звёздам."
5,升星可让部分忍者技能等级可达3级，通过潜能激发可解锁更高等级的技能,升星可让部分忍者技能等级可达3级，通过潜能激发可解锁更高等级的技能,skill_desc,0.8,70,M,zh-CN,count=0,ok,False,False,"Повышение звёзд позволяет некоторым ниндзя достичь 3-го уровня навыков, а через активацию потенциала можно разблокировать навыки более высокого уровня."
6,消耗忍者进行合成、突破等操作时，会将之前培养所消耗的资源将返还,消耗忍者进行合成、突破等操作时，会将之前培养所消耗的资源将返还,item_desc,0.8,66,M,zh-CN,count=0,ok,False,False,"При использовании ниндзя для синтеза, прорыва и других операций ресурсы, потраченные на его развитие, будут возвращены."
7,技能分为主动和被动。[沉默]阻止主动技能释放,技能分为主动和被动。[沉默]阻止主动技能释放,skill_desc,0.8,43,M,zh-CN,count=1,ok,False,False,Навыки делятся на активные и пассивные. [Молчание] блокирует использование активных навыков.
8,忍者升星时会消耗本体忍者，所以在游戏前期需尽量保留本体,忍者升星时会消耗本体忍者，所以在游戏前期需尽量保留本体,item_desc,0.8,57,M,zh-CN,count=0,ok,False,False,"При повышении звёзд ниндзя расходуется основной ниндзя, поэтому в начале игры рекомендуется сохранять основных ниндзя."
9,忍者技能冷却分为2回合与4回合，4回合冷却的技能更加强力,忍者技能冷却分为2回合与4回合，4回合冷却的技能更加强力,skill_desc,0.8,60,M,zh-CN,count=0,ok,False,False,Восстановление навыков ниндзя составляет 2 или 4 хода; навыки с восстановлением в 4 хода более мощные.
10,阵容克制会极大提高忍者战斗力，具体表现为增加命中和伤害,阵容克制会极大提高忍者战斗力，具体表现为增加命中和伤害,skill_desc,0.8,57,M,zh-CN,count=0,ok,False,False,"Контрпозиция в составе значительно повышает боевую мощь ниндзя, что выражается в увеличении точности и урона."
11,开始追讨叛忍时会自动进行扫荡，扫荡关数为昨日最高通关数-3,开始追讨叛忍时会自动进行扫荡，扫荡关数为昨日最高通关数-3,ui_button,0.8,62,M,zh-CN,count=0,ok,False,False,При начале преследования предателя-ниндзя автоматически выполняется зачистка. Количество зачищаемых уровней = максимальный уровень вчера - 3
12,每次挑战守卫木叶可选择1次增益buff，如果长时间不操作则系统自动选择,每次挑战守卫木叶可选择1次增益buff，如果长时间不操作则系统自动选择,dialogue,0.8,75,M,zh-CN,count=0,llm_tagged,False,False,"При каждом вызове защитника Листовой деревни можно выбрать 1 усиливающий бафф. Если долго не действовать, система выберет автоматически"
13,仙人试炼每2天重置1次，所累积的复活币道具不清空,仙人试炼每2天重置1次，所累积的复活币道具不清空,item_desc,0.8,51,M,zh-CN,count=0,ok,False,False,Испытание Мудреца сбрасывается 1 раз в 2 дня. Накопленные предметы монет возрождения не очищаются
14,晓·讨伐战除累积伤害奖励和排名奖励外，还有锦鲤奖抽取,晓·讨伐战除累积伤害奖励和排名奖励外，还有锦鲤奖抽取,skill_desc,0.8,55,M,zh-CN,count=0,ok,False,False,В боевой операции Акацуки помимо наград за накопленный урон и наград по рейтингу есть розыгрыш награды Золотой рыбки
15,精英召唤进行招募获得的精英召唤积分是稳定兑换心仪忍者的途径之一,精英召唤进行招募获得的精英召唤积分是稳定兑换心仪忍者的途径之一,item_desc,0.8,66,M,zh-CN,count=0,ok,False,False,"Очки элитного призыва, полученные при наборе в элитном призыве, — один из стабильных способов обмена на желаемого ниндзя"
16,高级招募每次十连必出5星忍者，并有概率出多位5星忍者,高级招募每次十连必出5星忍者，并有概率出多位5星忍者,skill_desc,0.8,55,M,zh-CN,count=0,ok,False,False,"При каждом 10-кратном призыве высокого уровня гарантированно выпадает 5-звёздочный ниндзя, с вероятностью выпадения нескольких 5-звёздочных ниндзя"
17,VIP等级达到3以上时，可消耗召唤获得的积分直接抽取5星忍者,VIP等级达到3以上时，可消耗召唤获得的积分直接抽取5星忍者,item_desc,0.8,64,M,zh-CN,count=0,ok,False,False,"Когда уровень VIP достигает 3 и выше, можно потратить очки призыва для прямого получения 5-звёздочного ниндзя"
18,忍者背包格子上限可通过提升VIP等级或消耗金币提升,忍者背包格子上限可通过提升VIP等级或消耗金币提升,item_desc,0.8,54,M,zh-CN,count=0,ok,False,False,"Лимит ячеек инвентаря ниндзя можно увеличить, повысив уровень VIP или потратив золотые монеты"
19,每一期的轮换活动都会有排名奖励，包含大量金币和高级探宝券,每一期的轮换活动都会有排名奖励，包含大量金币和高级探宝券,dialogue,0.8,60,M,zh-CN,count=0,llm_tagged,False,False,"Каждый период ротационного события содержит награды по рейтингу, включая большое количество золотых монет и продвинутые ваучеры поиска сокровищ"
20,玩家可消耗金币进行改名，首次改名免费，之后仅需低额金币,玩家可消耗金币进行改名，首次改名免费，之后仅需低额金币,item_desc,0.8,57,M,zh-CN,count=0,ok,False,False,"Игрок может потратить золотые монеты для смены имени. Первая смена имени бесплатна, последующие требуют небольшое количество золотых монет"
21,可消耗组织贡献升级六道之力，六道之力可百分比提高忍者属性,可消耗组织贡献升级六道之力，六道之力可百分比提高忍者属性,item_desc,0.8,60,M,zh-CN,count=0,ok,False,False,"Вы можете потратить вклад организации для улучшения Силы Шести Путей, которая увеличивает атрибуты ниндзя на процент"
22,布阵中同名忍者无法同时上阵，即使是好友支援的同名忍者,布阵中同名忍者无法同时上阵，即使是好友支援的同名忍者,dialogue,0.85,55,M,zh-CN,count=0,llm_tagged,False,False,"Ниндзя с одинаковыми именами не могут одновременно находиться в боевом строю, даже если это поддержка от друга"
